1,1,if diplomacy does not work,16,bit,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,BIT AFLX HS,select_key
1,1,if diplomacy does not work,2228,swipe_left,i  b  t  the  to,HS MOQ NWZ DEV BIT GPUY AFLX CJKR,DEV BIT GPUY,gesture_next
1,1,if diplomacy does not work,3094,swipe_left,i  b  t  the  to,HS MOQ NWZ DEV BIT GPUY AFLX CJKR,GPUY AFLX CJKR,gesture_next
1,1,if diplomacy does not work,3764,aflx,i  b  t  the  to,HS MOQ NWZ DEV BIT GPUY AFLX CJKR,GPUY AFLX CJKR,select_key
1,1,if diplomacy does not work,5712,if,if  il  bl  ta  bf,CJKR AFLX HS BIT GPUY MOQ DEV NWZ,CJKR AFLX HS,select_word
1,1,if diplomacy does not work,7256,swipe_left,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,MOQ GPUY CJKR,gesture_next
1,1,if diplomacy does not work,8209,swipe_left,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,CJKR NWZ DEV,gesture_next
1,1,if diplomacy does not work,8985,dev,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,CJKR NWZ DEV,select_key
1,1,if diplomacy does not work,9985,swipe_left,e  d  v  do  did,AFLX DEV MOQ BIT NWZ CJKR GPUY HS,BIT NWZ CJKR,gesture_next
1,1,if diplomacy does not work,10801,bit,e  d  v  do  did,AFLX DEV MOQ BIT NWZ CJKR GPUY HS,BIT NWZ CJKR,select_key
1,1,if diplomacy does not work,12454,swipe_left,et  dt  di  db  vi,DEV HS AFLX CJKR BIT GPUY MOQ NWZ,CJKR BIT GPUY,gesture_next
1,1,if diplomacy does not work,13410,gpuy,et  dt  di  db  vi,DEV HS AFLX CJKR BIT GPUY MOQ NWZ,CJKR BIT GPUY,select_key
1,1,if diplomacy does not work,15656,swipe_left,dig  dip  ebp  eighty,HS BIT AFLX DEV NWZ MOQ GPUY CJKR,DEV NWZ MOQ,gesture_next
1,1,if diplomacy does not work,16567,swipe_right,dig  dip  ebp  eighty,HS BIT AFLX DEV NWZ MOQ GPUY CJKR,HS BIT AFLX,gesture_prev
1,1,if diplomacy does not work,17094,aflx,dig  dip  ebp  eighty,HS BIT AFLX DEV NWZ MOQ GPUY CJKR,HS BIT AFLX,select_key
1,1,if diplomacy does not work,19267,swipe_left,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,HS MOQ GPUY,gesture_next
1,1,if diplomacy does not work,19794,moq,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,HS MOQ GPUY,select_key
1,1,if diplomacy does not work,21455,swipe_left,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,HS MOQ GPUY,gesture_next
1,1,if diplomacy does not work,22210,moq,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,HS MOQ GPUY,select_key
1,1,if diplomacy does not work,25196,aflx,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,DEV BIT AFLX,select_key
1,1,if diplomacy does not work,27154,swipe_left,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,HS MOQ GPUY,gesture_next
1,1,if diplomacy does not work,28004,swipe_left,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,GPUY CJKR NWZ,gesture_next
1,1,if diplomacy does not work,28699,cjkr,diplomatic  diplomats,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,GPUY CJKR NWZ,select_key
1,1,the price of gas is high,6,the,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,BIT AFLX HS,select_word
1,1,the price of gas is high,910,swipe_left,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,MOQ GPUY CJKR,gesture_next
1,1,the price of gas is high,2324,gpuy,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,MOQ GPUY CJKR,select_key
1,1,the price of gas is high,3332,cjkr,p  u  g  y  you,MOQ DEV CJKR AFLX HS GPUY NWZ BIT,MOQ DEV CJKR,select_key
1,1,the price of gas is high,4523,bit,gc  pc  pr  uk  yr,MOQ DEV BIT AFLX GPUY CJKR HS NWZ,MOQ DEV BIT,select_key
1,1,the price of gas is high,6465,swipe_left,ucb  pcb  private  price,MOQ NWZ DEV CJKR HS AFLX GPUY BIT,CJKR HS AFLX,gesture_next
1,1,the price of gas is high,7420,cjkr,ucb  pcb  private  price,MOQ NWZ DEV CJKR HS AFLX GPUY BIT,CJKR HS AFLX,select_key
1,1,the price of gas is high,9897,price,price  prices  priced  pricing,DEV BIT AFLX HS MOQ GPUY CJKR NWZ,DEV BIT AFLX,select_word
1,1,the price of gas is high,10779,of,the  of  and  to  a,BIT AFLX HS MOQ GPUY CJKR NWZ DEV,BIT AFLX HS,select_word
